Kood,Ehitise kasutamise otstarve
22222,Soojaveetorustik
22223,Kaugküttetorustik
22224,Puurauk
22225,Veetorn (rajatis)
22226,Salvkaev
22227,Hüdrant
22228,Puurkaev
22229,Muu kohaliku veetorustikuga seotud rajatis
22230,Kanalisatsiooniehitised
22231,Kanalisatsioonitorustik
22232,Reovee kollektor
22233,Reoveepuhasti
22234,Veepumpla
22235,Reoveepumpla
22239,"Muu reovee kogumise, puhastamise ja heitvee suublasse juhtimisega seotud rajatis"
22240,Elektrijaotusvõrgud ja sideliinid
22241,kuni 1 kV jaotusvõrgu elektri õhuliin
22242,üle 1 kV ja kuni 35 kV jaotusvõrgu elektri õhuliin
22243,Elektri maakaabelliin
22244,Elektri merekaabelliin
22245,Side õhu- või kaabelliin
22246,6–35 kV alajaam ja jaotusseade
22247,Televisioonikaabel või ühisantenn
22249,Muu kohalik elektrijaotusvõrgu või sideliini rajatis
23000,TÖÖSTUSEHITISTE JUURDE KUULUVAD RAJATISED
23010,Maavarade kaevandamise ja töötlemise rajatised
23011,Kaevandusrajatis
23012,Karjäärirajatis
23020,Energiatööstuse rajatised
23021,Hüdroelektrijaama rajatis
23022,Soojuselektrijaama rajatis
23023,Tuuleelektrijaama rajatis
23024,Tuumaelektrijaama rajatis
23025,Korsten
23029,Muu energiatööstuse rajatis
23030,Keemiatööstuse rajatised
23031,Keemiatööstuse rajatis
23040,Rasketööstuse rajatis
23041,Rasketööstuse rajatis
23050,Muude tööstusharude rajatised
23051,Toiduainetetööstuse rajatis
23052,Ehitusmaterjalide ja -toodete tööstuse rajatis
23053,Kergetööstuse rajatis
23054,Puidutööstuse rajatis
23055,Masina- ja seadmetööstuse rajatis
23059,Muu nimetamata tööstusharu rajatis
24000,MUUD RAJATISED
24100,Spordi- ja puhkerajatised
24110,"Staadionid ja spordiväljakud, välja arvatud mängu- ja golfiväljakud (24123), lõbustus- ja puhkepargid (24121)"
24111,Spordiväljak või staadion
24112,Liuväli
24113,"Veespordirajatis, välisujula"
24114,"Motodroom, motoringrada"
24115,Velodroom
24116,Hipodroom
24120,Muud spordi- ja puhkerajatised
24121,Lõbustus- ja puhkepargirajatis
24122,Botaanikaaia ja loomaaiarajatis
24123,Golfiväljak
24124,Supelrannarajatis
24125,Trampliin
24127,Rollerirada
24128,Spordiotstarbelise sadama rajatis või meremärk
24129,Muu nimetamata spordi- või puhkerajatis
24200,Muud rajatised
24210,Erirajatised
24211,Sisekaitse- või kaitseväerajatis
24212,Piirdeaiad ja väravad
24213,"Monument, skulptuur, mälestusmärk, purskkaev"
24214,Eksponeerimisotstarbega rajatis
24215,Kalmistu
24216,Prügimäerajatis
24219,Muu nimetamata rajatis
24220,Laomajandusrajatised
24221,Rajatis vedel- või gaasikütuse hoidmiseks
24222,Elevaator või rajatis puisteaine hoidmiseks
24223,Laoplats või laoväljak
24229,Muu nimetamata laomajandusrajatis
24230,"Põllumajanduse, metsa-, jahi- ja kalamajandusrajatised"
24231,Sõnnikuhoidla rajatis
24232,"Vesiviljelusehitis (tiigid, basseinid, kiirvoolukanalid, regulaatorid, veekogu kohandamiseks vajalikud rajatised, sisekasvatushooned, haudemajad, kalahoidlad, piirderajatised jms)"
24233,Rajatis põllumajandussaaduste või loomasööda hoidmiseks
